product_id,startup_id,name,category,description,b2b_b2c,pricing_model,launch_date,status,source_id,confidence,notes
PRD0187,S0035,SuperSET,,,,,,NOT_FOUND,,LOW,Product name not found in any search results; cannot verify existence
PRD0188,S0035,Floa,,,,,,NOT_FOUND,,LOW,Product name not found in any search results; cannot verify existence
PRD0189,S0035,Zeta Prime,,,,,,NOT_FOUND,,LOW,Product name not found in any search results; cannot verify existence
PRD0190,S0035,XUBE,,,,,,NOT_FOUND,,LOW,Product name not found in any search results; cannot verify existence
PRD0191,S0036,Flipkart marketplace,ecommerce,"Online marketplace for electronics, fashion, home essentials, groceries",,marketplace commission,2007,active,SRC00655,HIGH,
PRD0192,S0036,Flipkart Minutes,quick commerce,"Quick commerce delivery (30 min); competing with Blinkit, Instamart, Zepto",,marketplace,2024,active,SRC00646,MEDIUM,
PRD0193,S0036,Myntra,fashion ecommerce,Fashion and lifestyle e-commerce subsidiary,,marketplace,2007,active,SRC00649,MEDIUM,
PRD0194,S0036,Cleartrip,travel,Online travel booking platform,,marketplace,2006,active,SRC00650,MEDIUM,
PRD0195,S0036,Shopsy,social ecommerce,Social commerce platform focused on tier 2+ cities,,marketplace,2021,active,SRC00650,MEDIUM,
PRD0196,S0036,Flipkart Health Plus,epharmacy,E-pharmacy vertical,,marketplace,2023,active,SRC00650,MEDIUM,
PRD0197,S0037,"On-demand goods transport (mini-trucks, tempos, EVs, two-wheelers)",transportation,"On-demand intra-city goods transport via mini-trucks, tempos, EVs, and two-wheelers. Users select vehicle type based on requirements.",,per-kilometre based on vehicle type; estimate available on website/app,2014,active,SRC00659,HIGH,
PRD0198,S0037,Porter Enterprise,B2B logistics,"Complete logistics partner for businesses offering bulk transportation, distribution, and supply chain management. One-app multi-city multi-user access.",,enterprise contract,UNKNOWN,active,SRC00659,MEDIUM,
PRD0199,S0037,Porter Packers & Movers,relocation,Professional packing and moving services for house shifting. Available in 14+ cities for intracity and 7 cities for intercity.,,per-move,UNKNOWN,active,SRC00659,HIGH,
PRD0200,S0037,Intercity courier,logistics,Intercity courier solutions for businesses and consumers.,,UNKNOWN,UNKNOWN,active,SRC00661,MEDIUM,
PRD0201,S0037,P2P parcel delivery,logistics,"Peer-to-peer parcel delivery segment, competing with Dunzo, Rapido, Uber.",,UNKNOWN,UNKNOWN,active,SRC00660,MEDIUM,
PRD0202,S0037,API Integration,technology,"API integration for order management systems with webhook updates, live tracking, and transport authentication across 16 cities. Currently available on two-wheelers.",,UNKNOWN,UNKNOWN,active,SRC00659,MEDIUM,
PRD0203,S0038,Unacademy (Test Prep),online education,"Core test preparation platform for UPSC, JEE, NEET, GATE; su",,subscription,2015,active (acquired by upGrad Sep 2026),SRC00288,HIGH,
PRD0204,S0038,Airlearn,language learning,Language-learning app; top 3 most-downloaded language-learni,,freemium/subscription,2023,active (part of upGrad acquisition),SRC00676,HIGH,
PRD0205,S0038,Graphy,creator SaaS,Creator-focused platform allowing educators to create and mo,,SaaS,2020,active (generating positive cash flow per Munjal Apr 2025),SRC00673,HIGH,
PRD0206,S0038,PrepLadder,medical exam prep,Post-graduate medical entrance exam prep platform; acquired ,,subscription,2020,active (generating positive cash flow per Munjal Apr 2025),SRC00677,HIGH,
PRD0207,S0038,Relevel,skill development,Skill development platform; acquired via TapChief acquisitio,,unknown,2021,shut (dysfunctional website as of May 2025),SRC00680,MEDIUM,
PRD0208,S0038,Unacademy Centres (offline),offline coaching,Company-operated offline coaching centres; contributed 40-50,,offline tuition fees,2021,shut (transitioned to franchise model by Apr 2026),SRC00682,HIGH,
PRD0209,S0038,Unacademy regional language courses,online education,"Courses in regional Indian languages (Kannada, etc.)",,subscription,unknown,active (part of core test prep),SRC00689,LOW,
PRD0210,S0040,Energy Products,manufacturing,Power transmission and renewable energy equipment components,,,,active,SRC00719,HIGH,
PRD0211,S0040,Precision Products,manufacturing,Precision machined components for industrial and consumer applications,,,,active,SRC00719,HIGH,
PRD0212,S0040,Capital Goods,manufacturing,Custom capital goods and machine parts,,,,active,SRC00719,HIGH,
PRD0213,S0040,Zetwerk OS,technology platform,"Proprietary platform managing sourcing, production planning, supplier coordination, and project execution",,,,active,SRC00731,HIGH,
PRD0214,S0041,Dream11,fantasy sports,Paid contests shut Aug 2025; free-to-play social game,,,,pivoted (free-to-play),,,
PRD0215,S0041,FanCode,sports content/commerce,"Multi-sport aggregator: content, commerce, community",,,,active,,,
PRD0216,S0041,DreamSetGo,sports experiences,Curated travel packages for sporting events,,,,active,,,
PRD0217,S0041,Dream Capital,venture/M&A arm,"$250M earmarked; 10-startup portfolio (Fittr, SoStronk, KheloMore, Elevar)",,,,active,,,
PRD0218,S0042,InMobi Advertising,adtech,"Global advertising/engagement platform; 30k+ brands, 2B+ users, 150+ countries (company claim)",,,,active,,,
PRD0219,S0042,Glance (+Roposo),AI shopping/content,"Lock-screen content + Glance AI shopping app (140 countries, May 2025); Roposo entertainment commerce",,,,active,,,
PRD0220,S0042,InMobi Exchange,adtech,In-app ad exchange; 2nd largest in-app exchange industry; 39% YoY growth 2022,,B2B programmatic,,active,SRC00766,MEDIUM,
PRD0221,S0042,InMobi DSP,adtech,Demand-side platform for advertisers,,B2B programmatic,,active,SRC00766,MEDIUM,
PRD0222,S0042,Glance AI,AI shopping/consumer,"Intelligent shopping agent on lock-screen; AI-driven content, commerce, entertainment; 450M+ smartphone installs, ~300M active",,consumer (free),2019,active,SRC00770,HIGH,
PRD0223,S0042,Roposo,entertainment commerce,Live entertainment and shopping platform; acquired 2019,,consumer,2019,active,SRC00769,HIGH,
PRD0224,S0042,1Weather,consumer app,Weather app; part of InMobi consumer portfolio,,consumer (freemium),,active,SRC00770,MEDIUM,
PRD0225,S0042,MobileAction,iOS adtech,AI-powered iOS app growth and analytics platform; Apple Ads and App Store Optimization; acquired May 2026,,SaaS,2026-05,active (acquired),SRC00759,HIGH,
PRD0226,S0042,Shop101,e-commerce,Full-stack e-commerce platform; acquired by Glance; laid foundations for Glance AI commerce,,e-commerce,,active (acquired),SRC00769,HIGH,
PRD0227,S0043,Nykaa Beauty,beauty marketplace,"Cosmetics/skincare/haircare multi-brand retail; owned brands (Nykaa Cosmetics, Naturals, Kay Beauty); 13-brand focus",,,,active,,,
PRD0228,S0043,Nykaa Fashion,fashion e-commerce,Apparel/lifestyle vertical,,,,active,,,
PRD0229,S0043,Superstore (eB2B),B2B distribution,"eB2B; Rs 1,000cr GMV run-rate (Q3 FY25)",,,,active,,,
PRD0230,S0044,"Faasos, Behrouz Biryani, Oven Story Pizza, Lunchbox, The Good Bowl, Sweet Truth, EatSure",cloud kitchen brands,,,,,active,SRC00785,HIGH,
PRD0231,S0044,Faasos,cloud kitchen brand,Original brand; Indian fast food,,delivery-only,2011,active,SRC00785,HIGH,
PRD0232,S0044,Behrouz Biryani,cloud kitchen brand,Biryani brand,,delivery-only,2011,active,SRC00785,HIGH,
PRD0233,S0044,Oven Story Pizza,cloud kitchen brand,Pizza brand,,delivery-only,2011,active,SRC00786,HIGH,
PRD0234,S0044,Lunchbox,cloud kitchen brand,Indian meal brand,,delivery-only,2011,active,SRC00785,HIGH,
PRD0235,S0044,The Good Bowl,cloud kitchen brand,Healthy meal brand,,delivery-only,2011,active,SRC00785,HIGH,
PRD0236,S0044,Sweet Truth,cloud kitchen brand,Desserts brand,,delivery-only,2011,active,SRC00785,HIGH,
PRD0237,S0044,Mandarin Oak,cloud kitchen brand,Indian-Chinese brand,,delivery-only,2011,active,SRC00786,HIGH,
PRD0238,S0044,The Biryani Life,cloud kitchen brand,Biryani brand,,delivery-only,2011,active,SRC00788,MEDIUM,
PRD0239,S0044,Slay Coffee,cloud kitchen brand,Coffee brand,,delivery-only,2011,active,SRC00791,MEDIUM,
PRD0240,S0044,Smoor,chocolates/desserts,"Luxury chocolates, cakes, desserts; acquired majority stake Apr 2022",,retail + online,2015,active (acquired),SRC00791,HIGH,
PRD0241,S0044,EatSure,food court aggregator,Smartphone service described as 'foodcourt on an app'; offline outlets,,aggregator,2011,active,SRC00786,HIGH,
PRD0242,S0044,Wendy's India,franchise,Master franchise holder for Wendy's in India; 160 stores,,franchise,2011,active,SRC00786,HIGH,
PRD0243,S0045,Drools Pet Food (dog food),Consumer Goods / Pet Care,Nutritionally balanced dry and wet food for dogs,,D2C retail + e-commerce,2009,Active,SRC00808,HIGH,
PRD0244,S0045,Drools Pet Food (cat food),Consumer Goods / Pet Care,Nutritionally balanced food for cats; Purepet Cat subsidiary accounts for 35-40% of revenue,,D2C retail + e-commerce,2009,Active,SRC00804,MEDIUM,
PRD0245,S0045,Purepet Cat,Consumer Goods / Pet Care,Cat food subsidiary brand,,D2C retail,UNKNOWN,Active,SRC00804,MEDIUM,
PRD0246,S0046,"Fractal.ai (AI services, Cogentiq products); Fractal Alpha (AI businesses)",AI services + products,,,,,active,SRC00825,MEDIUM,
PRD0247,S0047,Jumbotail B2B Marketplace,E-commerce marketplace,Online wholesale marketplace connecting kirana stores with brands and staples producers,,Commission-based,2016,Active,SRC00847,HIGH,
PRD0248,S0047,J24 New Retail,Modern convenience retail,Retail-as-a-Service with PoS integrated with supply chain and fintech for kirana entrepreneurs to run modern convenience stores,,Revenue share / subscription,2020,Active (scaled down from 100 to ~17 stores),SRC00835,HIGH,
PRD0249,S0047,GoldenEye Retail OS,Retail operating system,"Proprietary cloud-based Retail Operating System including POS billing, merchandising, inventory management, CRM, loyalty, payments, credit, analytics",,SaaS,2022,Active,SRC00847,HIGH,
PRD0250,S0047,Fintech/Working Capital,Financial services,Payment solutions and access to working capital credit from lending partners for customers and sellers,,Interest-based,2017,Active,SRC00847,HIGH,
PRD0251,S0047,Supply Chain & Logistics,Logistics,Full-stack tech-driven supply chain and logistics with warehousing and fulfilment solutions,,Service fee,2016,Active,SRC00847,HIGH,
PRD0252,S0047,NEC AI Integration,AI/Retail technology,"Strategic collaboration with NEC for AI-powered product discovery, inventory management, in-stock optimization, working capital optimization",,Partnership,2026-03,Active,SRC00836,HIGH,
PRD0253,S0048,Livspace Select,Modular home solutions,"Modular solutions for kitchens, wardrobes, and storage; quick-setup partial home interiors",,Project-based,2014,Active,SRC00881,HIGH,
PRD0254,S0048,Livspace Vesta,Full home interiors,End-to-end full home interior design and renovation; projects typically start at Rs 10 lakhs,,Project-based,2014,Active,SRC00881,HIGH,
PRD0255,S0048,Bello,Affordable interiors,Affordable interior design offering,,Project-based,2024,Active,SRC00863,MEDIUM,
PRD0256,S0048,Vinciago,Premium interiors,Premium interior design offering,,Project-based,2024,Active,SRC00863,MEDIUM,
PRD0257,S0048,Livspace Home,Soft furnishings and homeware,"Private-label soft furnishings, furniture, and homeware; new private-label line of kitchen appliances (hobs, chimneys)",,Retail,2025,Active,SRC00866,MEDIUM,
PRD0258,S0048,Canvas,Design automation platform,Proprietary design-to-installation technology platform for designers; launched 2016,,B2B SaaS,2016,Active,SRC00882,HIGH,
PRD0259,S0048,Livspace Franchise,Franchise model,Franchise outlets (Livspace Studios); 1000-2000 sq ft area; Rs 5L franchise fee + Rs 30-35L infra; ~50% revenue sharing; 10-20 franchise outlets,,Revenue sharing,2014,Active,SRC00862,MEDIUM,
PRD0260,S0049,Meesho App,E-commerce marketplace,Zero-commission horizontal marketplace; discovery-led commerce; AOV ~₹260; 70%+ orders from discovery/recommendations,,,,Active,SRC00898,HIGH,
PRD0261,S0049,Meesho Mall,Branded commerce,"Dedicated platform for branded products; 1,200+ brands; NMV grew 93% YoY in Q1 FY27; transacting consumers +88% YoY",,,,Active,SRC00897,HIGH,
PRD0262,S0049,Valmo,Logistics marketplace,In-house logistics arm launched Feb 2024; aggregates small logistics service providers; handled ~50% of orders (flat for 3 quarters as of Q1 FY27); 2% in FY23 → 60% by mid-2025,,,,Active,SRC00897,HIGH,
PRD0263,S0049,Meesho Ads,Advertising,Advertising revenue from sellers and brands; primary revenue driver alongside logistics,,,,Active,SRC00898,HIGH,
PRD0264,S0049,Content Commerce,Social commerce,"Short videos, live streams, influencer campaigns; 50,000+ active content creators",,,,Active,SRC00888,HIGH,
PRD0265,S0049,Kirana Club,B2B grocery,Acquired July 2026 for ₹202 crore all-cash; B2B marketplace for kirana stores,,,,Acquired,SRC00897,HIGH,
PRD0266,S0049,AI tools,Technology,Vision Language Models for counterfeit detection; GenAI voice agents with local language support; AI Blitz for engineering productivity,,,,Active,SRC00897,HIGH,
PRD0267,S0051,Bike Taxi,Mobility - two-wheeler,Intra-city bike taxi service; primary product since 2015,,Fixed fare; subscription model for drivers,2015,Active (paused in Karnataka Jun 2025-Jan 2026; resumed after HC ruling),SRC00946,HIGH,
PRD0268,S0051,Auto Rickshaw,Mobility - three-wheeler,Auto booking service; launched Oct 2020,,Fixed fare; subscription model for drivers,2020-10,Active,SRC00942,HIGH,
PRD0269,S0051,Cab (Economy & Premium),Mobility - four-wheeler,Cab hailing service; introduced Dec 2023; subscription model,,Fixed fare; subscription model for drivers,2023-12,Active; Karnataka cab licence granted Aug 2026 (valid to 2031),SRC00935,HIGH,
PRD0270,S0051,Auto Share,Mobility - shared auto,Shared auto-rickshaw service,,Shared fare,unknown,Active,SRC00946,LOW,
PRD0271,S0051,Parcel,Logistics - delivery,Peer-to-peer parcel delivery via Rapido Local; bike parcel service,,Delivery fee,unknown,Active,SRC00946,MEDIUM,
PRD0272,S0051,Metro Ticket,Mobility - transit,Metro ticket booking service,,Ticket purchase,unknown,Active,SRC00946,LOW,
PRD0273,S0051,Ownly (Food Delivery),Food delivery,"Zero-commission food delivery platform; pilot Aug 2025 in Koramangala/HSR/BTM; standalone app launched Mar 3, 2026; inte",,Zero commission; flat Rs 30 delivery fee,2025-08,Active; integrated into main app Jul 2026,SRC00947,HIGH,
PRD0274,S0051,Rapido Ads,Advertising,In-app advertising platform,,Ad revenue,unknown,Active,SRC00946,LOW,
PRD0275,S0052,ShareChat,Indic-language social media,"India's largest Indic-language social media platform for sharing content including entertainment, news, sports, devotion, humour across 15+ regional languages. Features chatrooms, live streaming, virtual gifting, WhatsAp",,ad-supported + virtual gifting + live streaming,2015-10,active,SRC00974,HIGH,
PRD0276,S0052,Moj,Short video platform,"India's #1 short-video app for creating and watching short videos, reels, and short dramas. Launched in July 2020 in response to TikTok ban. Features Moj+ premium originals.",,ad-supported + subscription (Moj+),2020-07,active,SRC00974,HIGH,
PRD0277,S0052,QuickTV,Micro-drama subscription app,Subscription-only micro-drama platform launched May 2025. Short episodic content in multiple languages. Crossed 15Mn downloads within 4 months; 7.3Mn subscribers; 90+ mins avg daily time spent; 700+ micro-drama series.,,subscription,2025-05,active,SRC00975,HIGH,
PRD0278,S0052,ShareChat Lite,Lite version of ShareChat,Lightweight version of ShareChat app for lower-end devices.,,ad-supported,UNKNOWN,active,SRC00056,LOW,
PRD0279,S0052,Moj Lite,Lite version of Moj,Lightweight short-video app by ShareChat.,,ad-supported,UNKNOWN,active,SRC00056,LOW,
PRD0280,S0053,Apna.co,jobs marketplace,AI-powered professional networking and job search platform for blue/grey-collar workers. Connects job seekers with employers via mobile-first interface.,,freemium + pay-per-hire (PPH) + enterprise SaaS,2019,active,SRC01008,HIGH,
PRD0281,S0053,BlueMachines.ai,enterprise voice AI,"Enterprise-grade voice AI agent platform for deploying production-ready AI voice agents. Sub-300ms latency, multilingual Indian language support, enterprise data governance.",,enterprise contracts,2025-10-14,active,SRC01007,HIGH,
PRD0282,S0053,Apna Safety,trust & safety,"AI-powered recruiter verification system to prevent job scams. Verified 146,000+ recruiters via AI checks.",,free,2025-09,active,SRC01006,MEDIUM,
PRD0283,S0053,AICTE Career Portal (SWAYAM Plus),education/career,"MoU with AICTE to design, develop and maintain career portal for engineering/management graduates. Features AI resume builder, real-time notifications.",,government contract,2024-02-28,active,SRC01009,HIGH,
PRD0284,S0053,Apna AI Calling Agent,AI hiring tool,Multilingual AI calling agent to automate interviews and cut hiring time by 50%.,,enterprise,2025-08-08,active,SRC00998,MEDIUM,
PRD0285,S0053,Apna AI Job Prep,AI hiring tool,AI job preparation tool; clocked 39 lakh minutes across 7.6 lakh AI interviews.,,free,2025-06-12,active,SRC00998,MEDIUM,
PRD0286,S0054,BharatPe merchant stack,"merchant QR/UPI, POS, lending, PA gateway",,,,,active,,,
PRD0287,S0055,HiLoad EV,electric three-wheeler cargo,"India's most powerful 3W EV; 688 kg payload, 12.4 kWh liquid-cooled battery, ARAI-approved 170 km range",,approx INR 4.9 lakh (pre-subsidy),2022,active,SRC01031,HIGH,
PRD0288,S0055,Storm EV,electric four-wheeler LCV,"Country's first 4W LCV with ADAS, Night Vision Assist, 200 km range",,undisclosed,2024,active,SRC01037,MEDIUM,
PRD0289,S0055,Storm EV LongRange 200,electric four-wheeler LCV,Extended range variant of Storm EV,,undisclosed,2024,active,SRC01026,MEDIUM,
PRD0290,S0055,Storm EV T1500,electric four-wheeler LCV,T1500 variant in 4W cargo segment,,undisclosed,2024,active,SRC01026,MEDIUM,
PRD0291,S0055,Turbo EV 1000,electric four-wheeler mini truck (1-tonne),"India's first 1-tonne EV mini truck; starting price INR 5.99 lakh; 4 variants (CITY, FAST CHARGE, MAXX); saves ~INR 1.15 lakh vs diesel",,"INR 5,99,999 (CITY), INR 7,19,999 (MAXX), INR 8,19,999 (FAST CHARGE)",2025-09-22,active,SRC01040,HIGH,
PRD0292,S0055,NEO by Euler,electric auto-rickshaw (passenger),"Entry into passenger EV segment; priced at INR 3,09,999",,"INR 3,09,999",2025-08,active,SRC01041,MEDIUM,
PRD0293,S0055,HiLoad EV (2023 update),electric three-wheeler cargo,"Updated 2023 version with 12.96 kWh battery, 170 km range",,undisclosed,2023-04,active,SRC01042,MEDIUM,
PRD0294,S0057,Healthcare Intelligence Platform / Data Activation Platform,health data activation + AI agents,,,,,active,,,
PRD0295,S0058,Fireflies hyperspectral satellites,satellite constellation,"Commercial hyperspectral constellation; Fireflies batch (135+ bands, ~5m, 550km SSO); 18-24 satellite target",,,2025-01 (first Fireflies),deployed (6+),,HIGH,
PRD0296,S0058,Aurora,analytics platform,AI-powered no-code EO studio for hyperspectral analysis,,,,live,,HIGH,
PRD0297,S0059,"EV 2W/3W loans, rooftop solar finance, SME term/supply-chain loans",green lending,,,,,active,SRC01095,HIGH,
PRD0298,S0060,"Miko 3, Miko Mini, Miko Chess Grand, Miko Max (subscription), Mikonnect (video calling)",consumer robotics,,,,,active,SRC01106,HIGH,
PRD0299,S0061,Period care range,period care,"Customizable sanitary pads, cramp-relief patches",,,,,SRC01132,,
PRD0300,S0061,Wellness range,wellness,"Maternity, skincare, everyday intimate care",,,,,SRC01118,,
PRD0301,S0061,Period care range,period care,"Customizable sanitary pads, cramp-relief patches, zero-irritation period care, paper-based disposable cover",,subscription/one-time,2017,active,SRC01124,HIGH,
PRD0302,S0061,Wellness range,wellness,"Maternity care, skincare, everyday intimate care; includes foaming intimate wash, ultra-thin liners, period panties, menstrual cups, Uplift period nutrition drink",,subscription/one-time,2019,active,SRC01126,MEDIUM,
PRD0303,S0061,Nua Period Tracker app,digital,Period tracking app; digital engagement layer,,free,2025,active,SRC01124,MEDIUM,
PRD0304,S0061,SecretKeeper,digital,Anonymous chat service for women's health questions,,free,2025,active,SRC01124,MEDIUM,
PRD0305,S0061,Cramp Comfort,period care,India's first self-heating menstrual cramp patch,,one-time,2020,active,SRC01126,MEDIUM,
PRD0306,S0062,Truemeds online pharmacy,e-pharmacy,"Generic alternatives for branded prescriptions; chronic-care focus (diabetes, hypertension, cardio); devices (BP monitors, nebulisers)",,,,,SRC01139,,
PRD0307,S0062,Truemeds online pharmacy,e-pharmacy,"Generic alternatives for branded prescriptions; chronic-care focus (diabetes, hypertension, cardiovascular disease); devices (BP monitors, nebulisers); 1.8L+ products",,marketplace (commission-based); proprietary algorithm recommends cost-effective substitutes saving up to 51%,2019,active,SRC01145,HIGH,
PRD0308,S0062,Truemeds telehealth,telehealth,Online doctor consultations; teleconsultation with 600+ doctors; prescription-based medicine recommendations,,free consultation (bundled with medicine purchase),2019,active,SRC01145,HIGH,
PRD0309,S0062,Truemeds iOS app,mobile app,iOS application launched recently (per Moneycontrol Aug 2025),,free,2025,active,SRC01150,MEDIUM,Moneycontrol: 'Truemeds also recently launched its iOS app'
PRD0310,S0062,Planned diagnostics,diagnostics,Pilot lab testing services in tier-2 cities through partnerships with national pathology labs,,,,planned,SRC01138,MEDIUM,"TechCrunch: 'plotting to enter diagnostics through partnerships with national pathology labs, planning to pilot lab testing services in some tier-2 cities in the next three to four months'"
PRD0311,S0063,Affordable housing finance,lending,"Home loans, self-construction, home improvement, LAP via acquired HFCs; women/self-employed focus",,,,,SRC01166,,
PRD0312,S0063,Affordable housing finance,lending,"Home loans, self-construction loans, home improvement loans, LAP for self-employed and women borrowers in tier-2/3 cities",,UNKNOWN,2024-04,active,SRC01175,HIGH,
PRD0313,S0063,AI-based underwriting,technology,AI and alternative data-driven credit assessment for borrowers with limited formal documentation,,internal,UNKNOWN,active,SRC01175,MEDIUM,
PRD0314,S0063,Digital lending platform,technology,Digital workflows for loan origination and servicing,,internal,UNKNOWN,active,SRC01176,MEDIUM,
PRD0315,S0064,NoBroker (Buy/Sell/Rent),real_estate_listings,"Brokerage-free property search platform connecting owners with tenants/buyers directly. Core revenue vertical (~50% of revenue). Average resale ticket Rs 89Lakh, primary sale Rs 1.4Cr.",,Subscription (~Rs 3000/month for premium leads),2014,active,SRC01183,HIGH,
PRD0316,S0064,NoBroker Pay,payments/fintech,"Rent payment solution enabling credit card, debit card, UPI, and net banking payments for rent, maintenance, deposits, and token payments. Offers instant digital receipts for HRA tax exemption. Partnered with HDFC Bank P",,Transaction-based; credit card rent payments affected by RBI PA Master Directions Sept 2025,2018-12,active (credit card rent payments status unclear post-RBI directive),SRC01191,HIGH,
PRD0317,S0064,NoBrokerHood,society_management,"Society management platform for gated communities and housing societies. Present in 11 cities serving 25,000 societies and 4.8M families. Includes grocery services launched during COVID-19.",,Subscription,2017,active,SRC01188,HIGH,
PRD0318,S0064,"NoBroker Homes (Packers & Movers, Home Interiors, Painting, Cleaning)",home_services,"Packers and movers, home painting, cleaning, appliance repair, plumbing, electrical services. ~2 lakh service requests/month. Home interiors and moving services.",,Service fees,2019-2020,active,SRC01183,HIGH,
PRD0319,S0065,Vikram-1,orbital launch vehicle,Vikram-1: maiden orbital rocket; flagged off to Sriharikota Apr 2026; launch targeted June 2026,,,,pre-launch,,,
PRD0320,S0065,Vikram-2,launch vehicle,1-tonne class with cryogenic upper stage; in development,,,,development,,,
PRD0321,S0066,SCOT (Space Camera for Object Tracking),Space Surveillance Satellite,"India's first homegrown space surveillance satellite; enables space-to-space observation; launched Jan 14, 2025 on SpaceX Transporter-12; sun-synchronous orbit",,,2025-01-14,operational,SRC01226,HIGH,
PRD0322,S0066,ALBATROSS,Missile Detection Satellite,Planned missile detection satellite line; part of Digantara's expansion into missile warning and tracking,,,,planned,SRC01219,MEDIUM,
PRD0323,S0066,SKYGATE,Ground-Based Sensor Network,Network of ground-based sensors for situational awareness; complements space-based surveillance,,,,operational/developing,SRC01219,MEDIUM,
PRD0324,S0066,AIRA,Integrated Infrastructure,Integrated infrastructure for connecting space and ground components,,,,developing,SRC01219,MEDIUM,
PRD0325,S0066,MOSAIC (AI-powered Wide Area Sensing Architecture),AI-Powered Optical Sensor Network,AI-powered optical sensor network for real-time tracking of objects in LEO; 5 interconnected sensor nodes; uses 'Lost-in-Space' attitude estimation; designed for harsh environments; deployed Aug 2026 after Op Sindoor,,,2026-08-15,deployed,SRC01218,HIGH,
PRD0326,S0067,RummyCircle,rummy,Largest online rummy platform (company claim); RMG suspended Sept 2025,,,,,SRC01229,,
PRD0327,S0067,My11Circle,fantasy sports,Second-largest fantasy platform (company claim); RMG suspended Sept 2025,,,,,SRC01229,,
PRD0328,S0067,U Games / Ultimate Games,casual,Casual games hub,,,,,SRC01250,,
PRD0329,S0067,RummyCircle,rummy (real-money skill gaming),Largest online rummy platform in India (company claim); launched 2009; RMG suspended Aug/Sep 2025 per Online Gaming Act 2025,,platform fee / entry fee (now suspended),2009,suspended (RMG ban),SRC01236,HIGH,
PRD0330,S0067,My11Circle,fantasy sports,Top fantasy sports platform; IPL associate partner 2024-2029; launched 2019; RMG suspended Aug/Sep 2025,,platform fee / entry fee (now suspended),2019,suspended (RMG ban); pivoting to free-to-play,SRC01236,HIGH,
PRD0331,S0067,U Games / Ultimate Games,casual gaming,Casual games studio; launched Ultimate Teen Patti (highest-grossing Teen Patti app on Google Play Dec 2015); UTP IP sold to Nazara Technologies for ₹10 Cr in Apr 2024,,freemium / IAP,2021,active (casual/free-to-play),SRC01238,HIGH,
PRD0332,S0067,PokerCircle,poker (real-money skill gaming),Online poker platform; forayed into poker post-FY23; RMG suspended Aug/Sep 2025,,platform fee / entry fee (now suspended),2023,suspended (RMG ban),SRC01238,MEDIUM,
PRD0333,S0067,Games24x7 Ventures,corporate venture arm,"Corporate investment arm launched Oct 2022; invested in CricHeroes (Aug 2024), BeAble Health (Jan 2025), Noha.ai, HomeGround",,N/A,2022-10,active,SRC01251,HIGH,
PRD0334,S0068,Building materials marketplace + private labels,construction materials,"Concrete, steel, walling, tiles, paints, electricals across 15+ categories; 250+ mfg units, 10,000 retail touchpoints",,,,,SRC01258,HIGH,
PRD0335,S0068,RDC Concrete,ready-mix concrete,Largest non-cement RMC company in India; 52+ plants; acquired from True North for Rs 730 Cr in 2021,,B2B marketplace,2021,active,SRC01259,HIGH,
PRD0336,S0068,Shalimar Paints,paints,Acquired majority stake in 2022; listed subsidiary used for reverse-listing route to public markets,,B2B/B2C,2022,active (listed subsidiary),SRC01260,HIGH,
PRD0337,S0068,Million Tiles,tiles,Private-label tile brand,,B2B,unknown,active,SRC01258,MEDIUM,
PRD0338,S0068,Metro Group,ceramic tiles,"Majority stake acquired in 2023 via Rs 200 Cr share swap; 19 units, 3 tile brands",,B2B,2023,active,SRC01261,HIGH,
PRD0339,S0068,Emcer Tiles,tiles,57% stake acquired ~2022,,B2B,2022,active,SRC01258,MEDIUM,
PRD0340,S0068,Equiphunt,construction equipment rental,Majority stake acquired May 2021 for $10M; Hyderabad-based,,B2B rental,2021-05,active,SRC01259,HIGH,
PRD0341,S0068,Mpower tech,technology platform,Technology platform for digitizing procurement; mentioned in context of Infra.Market's tech stack,,SaaS/platform,unknown,active,SRC01265,LOW,Mpower tech reference not independently verified from primary sources; mentioned in user prompt but not found in fetched sources
PRD0342,S0070,Cash Loan / Personal Loan,lending,Instant digital personal loan up to ₹20 lakh; APR 9%-35%; tenure 1-84 months; 100% paperless; instant disbursal,,interest_rate (9%-35% p.a.),2020,active,SRC01301,HIGH,
PRD0343,S0070,Loan Against Property (LAP),lending,Loan against constructed properties up to ₹5 crore; interest rates up to 22%; zero processing fees; tenure up to 20 years; LTV up to 70%,,interest_rate (up to 22% p.a.),2025,active,SRC01302,HIGH,
PRD0344,S0070,Home Loan,lending,"Digital home loan product; portfolio ~₹1,500 cr as of Mar 2026",,interest_rate,2024,paused,SRC00082,HIGH,Paused due to low margins
PRD0345,S0070,Navi UPI,payments,NPCI-approved Third Party Application Provider (TPAP); 4th largest UPI app in India; 947M transactions in July 2026,,free (merchant-focused monetization planned),2023-08,active,SRC01291,HIGH,
PRD0346,S0070,Health Insurance,insurance,Comprehensive health insurance plans up to ₹1 crore cover; monthly starting at ₹350; superfast claim settlements,,premium (starting ₹350/month),2020,active,SRC01301,HIGH,
PRD0347,S0070,Navi Mutual Fund,investments,SEBI-registered mutual fund schemes; low-cost domestic funds; starting at ₹100,,AUM-based fee,2020,active,SRC01303,HIGH,
PRD0348,S0070,Digital Gold,investments,Digital gold investment product,,,,active,SRC01293,MEDIUM,
PRD0349,S0070,Merchant Financing (planned),lending,Planned merchant financing product; requires payment aggregator licence first,,,,planned,SRC00082,MEDIUM,
